trial index,timestamp
0,2025-06-05 12:24:48.770643
5,2025-06-05 12:25:26.568751
6,2025-06-05 12:25:49.301052
7,2025-06-05 12:26:12.704467
8,2025-06-05 12:26:41.182291
9,2025-06-05 12:27:19.552199
10,2025-06-05 12:27:52.018220
11,2025-06-05 12:28:46.762541
12,2025-06-05 12:29:39.740404
13,2025-06-05 12:30:24.129873
14,2025-06-05 12:31:27.647685
15,2025-06-05 12:32:06.139092
16,2025-06-05 12:32:45.798887
17,2025-06-05 12:33:21.498093
18,2025-06-05 12:33:59.166547
19,2025-06-05 12:34:30.755378
20,2025-06-05 12:35:11.172675
21,2025-06-05 12:37:24.874444
22,2025-06-05 12:40:29.422724
23,2025-06-05 12:42:16.072030
24,2025-06-05 12:45:52.716416
