trial index,timestamp
0,2025-06-08 17:47:57.101390
5,2025-06-08 17:48:28.238500
6,2025-06-08 17:48:55.109044
7,2025-06-08 17:49:26.110636
8,2025-06-08 17:50:16.479204
9,2025-06-08 17:50:59.496374
10,2025-06-08 17:51:35.568450
11,2025-06-08 17:52:19.715986
12,2025-06-08 17:53:02.380877
13,2025-06-08 17:53:48.358306
14,2025-06-08 17:54:33.197075
15,2025-06-08 17:55:15.705829
16,2025-06-08 17:55:53.833040
17,2025-06-08 17:57:02.487402
18,2025-06-08 17:58:17.210696
19,2025-06-08 17:59:13.652453
20,2025-06-08 18:00:13.273275
21,2025-06-08 18:01:18.474270
22,2025-06-08 18:02:06.251831
23,2025-06-08 18:04:18.401929
24,2025-06-08 18:05:31.970281
