trial_index,arm_name,trial_status,generation_method,rho_max,count_DGX-B300_0,count_DGX-B300_1,count_DGX-B300_2,count_DGX-B300_3,count_DGX-B300_4,count_DGX-B300_5,count_DGX-B300_6,count_DGX-B300_7,count_DGX-B300_8,count_DGX-B300_9,count_DGX-B300_10,count_DGX-B300_11,count_DGX-B300_12,count_DGX-B300_13,count_DGX-B300_14,count_DGX-B300_15,count_H200_0,count_H200_1,count_H200_2,count_H200_3,count_H200_4,count_H200_5,count_H200_6,count_H200_7,count_H200_8,count_H200_9,count_H200_10,count_H200_11,count_H200_12,count_H200_13,count_H200_14,count_H200_15
0,warm_start_0,RUNNING,Manual,0.01372459969567955,52,66,6,2,1,0,1,0,0,0,0,0,0,0,0,0,176,5,27,20,7,9,10,2,0,0,0,0,0,0,0,0
1,warm_start_1,RUNNING,Manual,0.011254293645991413,55,18,22,29,4,0,0,0,0,0,0,0,0,0,0,0,162,70,18,1,0,3,0,0,0,2,0,0,0,0,0,0
2,warm_start_2,RUNNING,Manual,0.013984592836693694,14,10,39,63,1,0,0,0,1,0,0,0,0,0,0,0,98,118,30,1,2,1,4,2,0,0,0,0,0,0,0,0
3,warm_start_3,RUNNING,Manual,0.013965671611674817,107,13,5,3,0,0,0,0,0,0,0,0,0,0,0,0,14,110,12,105,0,10,5,0,0,0,0,0,0,0,0,0
4,warm_start_4,RUNNING,Manual,0.0075806187765206125,60,27,19,7,2,6,2,1,4,0,0,0,0,0,0,0,182,67,5,0,0,0,1,0,1,0,0,0,0,0,0,0
5,5_0,RUNNING,BoTorch,0.013663334362568743,25,32,31,22,5,6,1,1,4,0,0,0,0,1,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5_1,RUNNING,BoTorch,0.01369345484981625,63,32,0,0,0,14,8,0,10,0,0,0,0,0,0,0,69,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5_10,RUNNING,BoTorch,10.00005294114215,0,30,0,0,4,18,0,8,2,0,0,10,3,0,54,0,23,0,15,1,3,47,10,6,41,35,12,0,2,12,12,37
5,5_11,RUNNING,BoTorch,0.004845851202847192,2,41,3,0,1,0,7,9,0,1,34,0,1,20,0,8,7,48,1,2,8,17,3,20,24,25,27,8,6,2,17,28
5,5_12,RUNNING,BoTorch,9.999950514505834,7,8,6,9,9,0,3,10,2,41,3,12,12,3,0,4,4,21,18,11,4,21,29,50,35,3,1,5,13,8,16,14
