trial_index,arm_name,trial_status,generation_method,rho_max,count_DGX-B300_0,count_DGX-B300_1,count_DGX-B300_2,count_DGX-B300_3,count_DGX-B300_4,count_DGX-B300_5,count_DGX-B300_6,count_DGX-B300_7,count_DGX-B300_8,count_DGX-B300_9,count_DGX-B300_10,count_DGX-B300_11,count_DGX-B300_12,count_DGX-B300_13,count_DGX-B300_14,count_DGX-B300_15,count_H200_0,count_H200_1,count_H200_2,count_H200_3,count_H200_4,count_H200_5,count_H200_6,count_H200_7,count_H200_8,count_H200_9,count_H200_10,count_H200_11,count_H200_12,count_H200_13,count_H200_14,count_H200_15
0,warm_start_0,RUNNING,Manual,0.013679677520719928,32,84,4,5,2,1,0,0,0,0,0,0,0,0,0,0,7,220,26,2,0,1,0,0,0,0,0,0,0,0,0,0
1,warm_start_1,RUNNING,Manual,0.013896725067921726,26,83,8,10,0,1,0,0,0,0,0,0,0,0,0,0,113,46,16,33,32,7,0,4,3,1,0,1,0,0,0,0
2,warm_start_2,RUNNING,Manual,0.013886424200112591,4,79,38,3,2,1,1,0,0,0,0,0,0,0,0,0,184,60,1,8,2,0,1,0,0,0,0,0,0,0,0,0
3,warm_start_3,RUNNING,Manual,0.013869890930665006,23,42,20,5,37,0,0,0,1,0,0,0,0,0,0,0,124,43,29,34,3,22,1,0,0,0,0,0,0,0,0,0
4,warm_start_4,RUNNING,Manual,0.010766836587917054,102,1,2,4,0,19,0,0,0,0,0,0,0,0,0,0,150,47,13,36,6,2,1,0,0,0,1,0,0,0,0,0
5,5_0,RUNNING,BoTorch,0.0349455554578819,37,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0
5,5_1,RUNNING,BoTorch,0.0537355275132804,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,254,0,0,0,0,0,0,0
5,5_2,RUNNING,BoTorch,0.04763844399023305,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,207,0,0,0,0,0,0,0,0
5,5_3,RUNNING,BoTorch,0.026688231164979447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2,3,0,191,0,0,0,0,58,0,1,0,0,0,0,1
6,6_0,RUNNING,BoTorch,0.024048226661893143,0,0,0,0,0,0,0,0,38,0,90,0,0,0,0,0,70,95,0,90,0,0,0,0,0,0,0,0,0,0,0,0
