trial_index,arm_name,trial_status,generation_method,rho_max,count_DGX-B300_0,count_DGX-B300_1,count_DGX-B300_2,count_DGX-B300_3,count_DGX-B300_4,count_DGX-B300_5,count_DGX-B300_6,count_DGX-B300_7,count_DGX-B300_8,count_DGX-B300_9,count_DGX-B300_10,count_DGX-B300_11,count_DGX-B300_12,count_DGX-B300_13,count_DGX-B300_14,count_DGX-B300_15,count_DGX-B300_16,count_DGX-B300_17,count_DGX-B300_18,count_DGX-B300_19,count_DGX-B300_20,count_DGX-B300_21,count_DGX-B300_22,count_DGX-B300_23,count_DGX-B300_24,count_DGX-B300_25,count_DGX-B300_26,count_DGX-B300_27,count_DGX-B300_28,count_DGX-B300_29,count_DGX-B300_30,count_DGX-B300_31,count_H200_0,count_H200_1,count_H200_2,count_H200_3,count_H200_4,count_H200_5,count_H200_6,count_H200_7,count_H200_8,count_H200_9,count_H200_10,count_H200_11,count_H200_12,count_H200_13,count_H200_14,count_H200_15,count_H200_16,count_H200_17,count_H200_18,count_H200_19,count_H200_20,count_H200_21,count_H200_22,count_H200_23,count_H200_24,count_H200_25,count_H200_26,count_H200_27,count_H200_28,count_H200_29,count_H200_30,count_H200_31
0,warm_start_0,RUNNING,Manual,0.010401018504526753,87,5,24,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,17,3,26,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,warm_start_1,RUNNING,Manual,0.014100788420462609,47,51,27,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,113,28,1,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,warm_start_2,RUNNING,Manual,0.013730538383915395,48,71,1,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,38,20,1,10,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,warm_start_3,RUNNING,Manual,0.00901429179938167,64,7,31,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,13,33,47,13,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,warm_start_4,RUNNING,Manual,0.010777633698485231,5,58,46,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,133,0,48,21,22,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5_0,RUNNING,BoTorch,9.999932101982342,0,0,44,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,163,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5_1,RUNNING,BoTorch,0.01993026124826259,0,0,0,57,0,0,0,54,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5_2,RUNNING,BoTorch,0.02787578492581287,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,5_3,RUNNING,BoTorch,0.002132217131571491,4,0,2,2,5,0,1,9,10,6,7,1,0,4,4,1,11,3,0,0,2,17,1,4,1,1,5,5,2,16,3,1,0,7,2,12,12,18,6,1,1,2,8,6,15,3,15,7,6,3,8,10,3,1,11,5,15,13,27,2,10,10,3,8
6,6_0,RUNNING,BoTorch,9.999972126806993,0,0,0,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,42,0,63,0,0,0,0,40,0,0,0,0,18,0,91,0,0,0,0,0
