trial_index,arm_name,trial_status,generation_method,rho_max,count_DGX-B300_0,count_DGX-B300_1,count_DGX-B300_2,count_DGX-B300_3,count_DGX-B300_4,count_DGX-B300_5,count_DGX-B300_6,count_DGX-B300_7,count_H200_0,count_H200_1,count_H200_2,count_H200_3,count_H200_4,count_H200_5,count_H200_6,count_H200_7
0,warm_start_0,RUNNING,Manual,0.01384198391418129,55,47,26,0,0,0,0,0,63,147,13,17,5,9,2,0
1,warm_start_1,RUNNING,Manual,0.014050089104478627,91,30,0,4,3,0,0,0,18,114,52,1,25,3,29,8
2,warm_start_2,RUNNING,Manual,0.012146838552657758,103,9,11,1,3,0,1,0,229,5,5,2,3,10,1,1
3,warm_start_3,RUNNING,Manual,0.013676870442247482,67,16,7,12,26,0,0,0,124,78,3,13,37,1,0,0
4,warm_start_4,RUNNING,Manual,0.013803443841333177,110,5,12,1,0,0,0,0,224,16,7,7,0,2,0,0
5,5_0,RUNNING,BoTorch,10.000039877666266,99,17,5,0,4,0,3,0,233,0,1,0,5,16,1,1
5,5_1,RUNNING,BoTorch,9.999857872006226,25,0,15,9,15,38,5,22,45,0,12,8,86,10,35,41
5,5_2,RUNNING,BoTorch,0.00832602719138043,0,15,1,7,55,28,2,6,71,0,1,18,1,49,10,88
5,5_3,RUNNING,BoTorch,0.01420690267029177,0,46,5,1,0,65,10,0,18,0,0,67,60,15,37,23
6,6_0,RUNNING,BoTorch,10.000035021599363,21,0,0,8,100,0,0,0,174,0,0,0,0,82,0,0
6,6_1,RUNNING,BoTorch,0.013861848980274321,12,0,0,38,30,0,2,46,10,0,0,0,0,156,0,90
6,6_2,RUNNING,BoTorch,0.019351187952112426,0,1,0,45,0,0,82,0,15,0,0,0,0,63,0,178
6,6_3,RUNNING,BoTorch,10.00004589231791,0,0,99,0,28,1,0,1,145,7,0,7,2,67,5,17
7,7_0,RUNNING,BoTorch,9.999998157935439,0,42,0,0,83,0,4,0,184,0,0,0,0,72,0,0
7,7_1,RUNNING,BoTorch,0.01775177420179663,0,12,0,0,68,0,48,0,77,0,0,0,0,118,61,0
7,7_2,RUNNING,BoTorch,0.042179692946598304,0,0,0,0,127,0,1,0,0,0,0,0,0,0,256,0
7,7_3,RUNNING,BoTorch,0.020305470107738758,0,11,0,0,114,0,3,0,0,0,203,0,0,53,0,0
8,8_0,RUNNING,BoTorch,10.000001080178446,30,70,0,0,0,28,0,0,106,0,0,0,0,73,0,78
8,8_1,RUNNING,BoTorch,0.047694971246642626,0,0,0,0,0,128,0,0,176,0,0,0,0,80,0,0
8,8_2,RUNNING,BoTorch,0.03469638307585907,0,82,0,0,46,0,0,0,0,0,0,0,0,0,0,256
8,8_3,RUNNING,BoTorch,0.028016412189099702,0,14,0,0,0,0,0,114,115,0,0,0,0,0,0,141
9,9_0,RUNNING,BoTorch,0.014188301330187744,36,30,0,36,0,26,0,0,95,0,21,0,0,140,0,0
9,9_1,RUNNING,BoTorch,0.02383146743809765,0,0,0,92,0,36,0,0,0,0,0,29,195,32,0,0
9,9_2,RUNNING,BoTorch,10.000131239495833,0,0,0,0,0,36,92,0,0,0,0,34,0,200,0,23
9,9_3,RUNNING,BoTorch,0.02079037374229875,82,0,0,0,0,46,0,0,0,0,45,38,0,39,0,134
10,10_0,RUNNING,BoTorch,10.000033621115128,28,100,0,0,0,0,0,0,38,0,0,81,0,76,17,45
10,10_1,RUNNING,BoTorch,10.00011225455036,30,0,50,0,33,15,0,0,95,0,0,0,0,102,15,45
10,10_2,RUNNING,BoTorch,0.01769954971014617,0,26,0,0,62,40,0,0,0,0,0,185,0,0,19,52
10,10_3,RUNNING,BoTorch,0.02240524870768121,0,0,128,0,0,0,0,0,93,0,23,0,11,48,15,54
11,11_0,RUNNING,BoTorch,10.000192481778976,0,91,0,0,0,21,17,0,138,0,0,0,61,2,17,38
11,11_1,RUNNING,BoTorch,0.01394235618911745,3,30,21,0,52,21,0,0,0,0,0,0,84,89,0,83
11,11_2,RUNNING,BoTorch,0.04937411737875371,0,128,0,0,0,0,0,0,0,0,0,0,0,241,15,0
11,11_3,RUNNING,BoTorch,0.019975349702034503,0,35,0,0,0,27,66,0,192,0,0,0,0,0,0,64
12,12_0,RUNNING,BoTorch,9.999838835407443,15,13,0,15,53,21,12,0,62,0,0,0,0,101,0,93
12,12_1,RUNNING,BoTorch,10.00020470445713,47,19,0,6,42,15,0,0,106,0,0,0,0,76,0,74
12,12_2,RUNNING,BoTorch,9.999984410762789,0,14,0,22,58,35,0,0,44,0,61,0,0,82,0,69
12,12_3,RUNNING,BoTorch,0.017885455813640705,76,29,0,0,0,0,23,0,97,0,0,97,0,61,0,0
13,13_0,RUNNING,BoTorch,9.99999716016905,0,19,0,23,45,34,8,0,49,70,25,40,0,65,0,7
13,13_1,RUNNING,BoTorch,0.013691103404440758,21,0,0,22,53,25,7,0,140,0,0,0,0,67,0,49
13,13_2,RUNNING,BoTorch,10.000052838447942,0,35,0,6,41,47,0,0,0,0,207,49,0,0,0,0
13,13_3,RUNNING,BoTorch,10.000021337301028,0,13,0,0,51,46,19,0,0,222,0,0,0,33,0,1
14,14_0,RUNNING,BoTorch,9.999951842744581,4,23,8,11,36,24,0,23,168,0,0,0,0,0,32,57
14,14_1,RUNNING,BoTorch,10.000014920875813,0,20,0,0,51,34,0,24,4,141,0,0,0,38,0,73
14,14_2,RUNNING,BoTorch,0.02357174101146636,0,47,0,0,0,41,0,40,0,207,0,0,0,0,49,0
14,14_3,RUNNING,BoTorch,0.014000736949179873,0,14,0,3,91,20,0,0,60,32,0,0,1,40,21,101
