trial_index,arm_name,trial_status,generation_method,rho_max,count_DGX-B300_0,count_DGX-B300_1,count_DGX-B300_2,count_DGX-B300_3,count_DGX-B300_4,count_DGX-B300_5,count_DGX-B300_6,count_DGX-B300_7,count_DGX-B300_8,count_DGX-B300_9,count_DGX-B300_10,count_DGX-B300_11,count_DGX-B300_12,count_DGX-B300_13,count_DGX-B300_14,count_DGX-B300_15,count_H200_0,count_H200_1,count_H200_2,count_H200_3,count_H200_4,count_H200_5,count_H200_6,count_H200_7,count_H200_8,count_H200_9,count_H200_10,count_H200_11,count_H200_12,count_H200_13,count_H200_14,count_H200_15
0,warm_start_0,RUNNING,Manual,0.012262967126610465,85,9,28,4,2,0,0,0,0,0,0,0,0,0,0,0,175,18,49,5,3,5,1,0,0,0,0,0,0,0,0,0
1,warm_start_1,RUNNING,Manual,0.010541989128878491,47,8,43,24,4,1,1,0,0,0,0,0,0,0,0,0,45,28,182,1,0,0,0,0,0,0,0,0,0,0,0,0
2,warm_start_2,RUNNING,Manual,0.006496539809723361,57,16,9,6,13,0,14,10,1,2,0,0,0,0,0,0,150,37,27,21,2,2,11,1,0,3,0,0,2,0,0,0
3,warm_start_3,RUNNING,Manual,0.02033626042866801,110,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,103,39,1,1,0,0,0,0,0,0,0,0,0,0,0
4,warm_start_4,RUNNING,Manual,0.013615605333746,49,20,41,4,11,0,1,2,0,0,0,0,0,0,0,0,244,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0
5,5_0,RUNNING,BoTorch,9.999861642305044,0,0,0,5,44,0,44,31,4,1,0,0,0,0,0,0,64,21,42,52,4,3,55,0,0,14,0,0,2,0,0,0
5,5_1,RUNNING,BoTorch,10.000031572312475,0,0,0,0,20,0,13,95,0,0,0,0,0,0,0,0,0,38,20,30,1,1,2,0,32,19,0,1,1,107,6,0
5,5_2,RUNNING,BoTorch,10.000118818348572,0,17,0,0,2,0,62,0,7,41,0,0,0,0,0,0,2,0,10,37,1,10,32,26,0,3,3,31,13,0,5,79
5,5_3,RUNNING,BoTorch,10.000056501929466,0,0,0,0,86,0,12,0,3,0,0,0,0,0,28,0,0,66,2,27,9,0,0,1,0,12,106,0,2,2,28,0
6,6_0,RUNNING,BoTorch,10.000148772613308,0,0,0,0,33,0,61,34,0,0,0,0,0,0,0,0,73,0,20,94,9,8,50,0,0,0,0,0,3,0,0,0
6,6_1,RUNNING,BoTorch,0.014111199103330821,0,0,0,0,127,0,0,0,0,1,0,0,0,0,0,0,7,0,1,52,126,19,0,4,4,1,0,1,0,1,0,39
6,6_2,RUNNING,BoTorch,0.02133261567664275,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,1,51,0,0,0,58,0,0,3,0,48,4,0,90
6,6_3,RUNNING,BoTorch,10.000007488515791,0,0,0,0,1,0,21,0,0,0,107,0,0,0,0,0,11,0,0,205,9,6,0,0,16,3,1,1,0,1,2,0
