trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_DGX-B300,skew_exponent_DGX-B300,num_islands_H200,skew_exponent_H200
0,warm_start_0,RUNNING,Manual,0.0018381865568135572,14,4.377246869506912,95,3.511441775348853
1,warm_start_1,RUNNING,Manual,0.0020378156860565953,12,3.070531164326038,91,4.843965258659464
2,warm_start_2,RUNNING,Manual,0.00199464289494855,6,3.902325594518759,91,-0.9457498848812644
3,warm_start_3,RUNNING,Manual,0.004044641104836824,45,-4.323444707636898,99,4.8925644127100885
4,warm_start_4,RUNNING,Manual,0.005642628403992841,59,1.726038279576878,36,2.960953842155196
5,5_0,RUNNING,BoTorch,0.001689225997922446,9,5.0,128,5.0
5,5_1,RUNNING,BoTorch,0.0015134117490198952,23,5.0,128,-5.0
5,5_2,RUNNING,BoTorch,0.002096906918783884,15,5.0,68,-5.0
5,5_3,RUNNING,BoTorch,0.003848459433253095,1,5.0,103,5.0
5,5_4,RUNNING,BoTorch,0.00756928509593662,1,5.0,26,5.0
5,5_5,RUNNING,BoTorch,0.0022938860018733138,8,-3.4653040089484977,128,-5.0
5,5_6,RUNNING,BoTorch,0.06286112305813445,1,-5.0,1,-5.0
5,5_7,RUNNING,BoTorch,0.0018234114210331548,20,5.0,88,-5.0
6,6_0,RUNNING,BoTorch,10.000055616737876,64,-1.8895315094098626,128,2.2857007924390937
6,6_1,RUNNING,BoTorch,9.999990706913533,64,-5.0,128,-5.0
6,6_2,RUNNING,BoTorch,0.01300443005276838,64,5.0,1,-5.0
6,6_3,RUNNING,BoTorch,9.999964805912247,40,0.1571707543236267,128,-5.0
6,6_4,RUNNING,BoTorch,9.99986629280033,64,0.04666839083408722,128,5.0
6,6_5,RUNNING,BoTorch,0.0052426391540686176,64,5.0,44,5.0
6,6_6,RUNNING,BoTorch,9.999735871883455,64,-5.0,128,5.0
6,6_7,RUNNING,BoTorch,9.9999973182138,64,-1.747215145120678,128,-5.0
7,7_0,RUNNING,BoTorch,0.002793941646027146,49,-5.0,64,5.0
7,7_1,RUNNING,BoTorch,0.0019537588640475747,46,-5.0,33,5.0
7,7_2,RUNNING,BoTorch,0.0042663614147548995,50,-5.0,91,5.0
7,7_3,RUNNING,BoTorch,0.0031599160257828546,33,-5.0,1,5.0
7,7_4,RUNNING,BoTorch,0.01319661063671469,46,5.0,45,-5.0
7,7_5,RUNNING,BoTorch,0.0027517728572424107,43,-5.0,4,5.0
7,7_6,RUNNING,BoTorch,0.013366431975240652,48,5.0,41,-5.0
7,7_7,RUNNING,BoTorch,0.013027236133941359,10,-5.0,1,5.0
8,8_0,RUNNING,BoTorch,0.004106122291539515,39,-5.0,87,5.0
8,8_1,RUNNING,BoTorch,0.0027776173855379974,21,5.0,28,-5.0
